Brend:,Qurğunun növü:,Seriya:,Form-faktor:,SİM kartının növü:,"Ekranın diaqonalı, düym:",Operativ yaddaşın həcmi:,"Ekranın qətnaməsi, Mp:",Yaddaşın əsas həcmi:,Ekran texnologiyası:,Prosessor:,Prosessorun nüvələr sayı:,Daxili yaddaş həcmi:,Yaddaş kartlarının dəstəklənməsi:,Yaddaş kartları üçün yuvalar:,"Əsas kamera, Mp:","Əsas kamera dəsti, Mp:","Ön kamera, Mp:",Wi-Fi standartı:,Bluetooth standartı:,Qoşulma portu:,Simsiz enerji toplama:,Korpusun qorunması:,"Akkumulyatorun həcmi, mA/saat:",Rabitə standartları:,Digər funksiyalar və xüsusiyyətlər:,Bazarın başlanğıc ili:,İstehsalçı ölkə:,Brendin ölkəsi:,Komplektasiya:,Rəng:,Korpusun materialı:,"Hündürlüyü, mm:","Çəki, q:","Qalınlığı, mm:","Eni, mm:",Price
Nokia,Mobil telefon,Nokia 106,Monoblok,Mini-SIM,1.8,,160 x 120,4 Mb,TFT,,,1 Gb qədər,Xeyr,,,,,,,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2018.0,Vyetnam,,,Boz,Plastik,111.2,70.2,14.4,49.5,50.32
Hope,Mobil telefon,Hope V,Monoblok,Mini-SIM,1.77,,160 x 128,16 Mb,LCD,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,2,,,,MicroUSB,Xeyr,,,2G,,,Çin,Çin,SmartfonAkkumulyatorAdapterÇexol,Qara,Metal,129.0,130.0,18.0,44,96.39
Nokia,Mobil telefon,Nokia 105,Monoblok,SIM,1,,160 x 128,,TFT,,,1 Gb qədər,Xeyr,Yoxdur,,,,Xeyr,,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,,,,Qara,Plastik,119.0,73.0,14.0,49,53.0
Nokia,Mobil telefon,Nokia 105,Monoblok,Mini-SIM,1.77,1 Gb qədər,160 x 120,,TFT,,,,Bəli,microSD,,,,,4.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Finlandiya,,,Qara,Plastik,112.0,73.0,14.4,49.5,39.27
INOI,Mobil telefon,INOI 288S,Slayder,Mini-SIM,2,,160 x 128,,IPS,,,,Bəli,microSD,5 Mp qədər,,,,,MicroUSB,Xeyr,,3000 qədər,2G,,,Çin,Rusiya,Smartfon,Qara,Metal,115.0,168.0,16.0,49,89.1
INOI,Mobil telefon,,Slayder,Mini-SIM,2,,,,IPS,,,,Bəli,microSDmicroSDHC,5 Mp qədər,0.3,,,,MicroUSB,Xeyr,,3000 qədər,2G,,2020.0,Çin,Rusiya,SmartfonAdapter,Boz,Metal,115.0,168.0,16.0,49,89.1
Hope,Mobil telefon,Hope SQ,Monoblok,Mini-SIM,1.77,,160 x 128,16 Mb,LCD,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,2,,,3.0,MicroUSB,Xeyr,Toza davamlı,6000 və yuxarı,2G,FənərPower BankToza qarşı müdafiə,,Çin,Çin,SmartfonAkkumulyatorAdapterAntennaÇexol,Qara,Plastik,128.0,90.0,30.0,59,78.52
F+,Mobil telefon,F+ F197,Monoblok,Mini-SIM,1.77,,160 x 128,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,,,,,2.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,SmartfonTəlimatAdapter,Qara,Plastik,114.0,70.0,13.0,48,27.0
Nokia,Mobil telefon,Nokia 3310,Monoblok,Nano-SIM,2.4,1 Gb qədər,320 x 240,,TFT,,1.0,,Bəli,microSD,5 Mp qədər,2,,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Vyetnam,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Boz,Plastik,115.6,78.0,12.8,51,124.3
SQ,Mobil telefon,SQ 8700,Monoblok,,2.4,,,,,,,,Bəli,microSD,,,,,,,Xeyr,,3000 qədər,,Fənər,,Çin,Çin,Smartfon,Qara,,,,,,85.0
Samsung,Mobil telefon,Samsung B310E,Monoblok,Mini-SIM,2,,128 x 160,64 Mb,TFT,,,1 Gb qədər,Bəli,,,,,,,,Xeyr,,3000 qədər,,,,,,SmartfonTəlimat,Göy,Plastik,113.0,65.0,13.0,46,60.0
Geecoo,Mobil telefon,,,Nano-SIMMicro-SIM,2.4,1 Gb qədər,320 x 240,,IPS,,1.0,,Bəli,microSD,5 Mp qədər,,,,5.0,,Xeyr,,3000 qədər,2G,Fənər,2019.0,Çin,Çin,,Qara,,,,,,79.0
Hope,Mobil telefon,Hope K30,Monoblok,,,,,,,,,,Bəli,,,,,,,,,,3000 qədər,,Fənər,,Çin,Çin,Smartfon,Qara,,,,,,69.9
Itel,Mobil telefon,Itel IT2163,Monoblok,Mini-SIM,1.77,,160 x 128,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,SmartfonTəlimatAdapter,Göy,Plastik,114.0,75.7,14.3,49,25.9
Nokia,Mobil telefon,Nokia 105,Monoblok,Nano-SIM,1.77,1 Gb qədər,320 x 240,,TFT,,1.0,,Bəli,microSD,,,,,,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Çin,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Çəhrayı,Plastik,119.0,74.0,14.4,49.2,68.6
KGTEL,Mobil telefon,Kgtel KG1280,Monoblok,Mini-SIM,1.4,,128 x 64,16 Mb,LCD,,,1 Gb qədər,Bəli,microSD,,,,,,MicroUSB,Xeyr,,3000 qədər,2G,,,Çin,Çin,SmartfonAkkumulyatorAdapter,Qara,Plastik,107.0,80.0,15.0,45,24.94
Hope,Mobil telefon,Hope SQ,Monoblok,Mini-SIM,2.4,,320 x 240,,LCD,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,1.3,,,,MicroUSB,Xeyr,,,2G,FənərPower Bank,,Çin,Çin,SmartfonAkkumulyatorAdapterAntennaÇexol,Qara,Plastik,140.0,150.0,27.0,64,89.1
Geecoo,Mobil telefon,Geecoo Mini 2,Monoblok,Nano-SIMMicro-SIM,1.54,1 Gb qədər,240 x 240,32 Mb,IPS,,1.0,1 Gb qədər,Bəli,microSD,,,,,2.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Çin,Çin,TəlimatKabel,Qara,,113.0,70.8,5.6,47.9,89.0
Samsung,Mobil telefon,Samsung GT-E1207,Monoblok,Mini-SIM,1.52,,128 x 128,,TFT,,,,,,,,,,,,Xeyr,,3000 qədər,2G,,,Çin,Cənubi Koreya,SmartfonAkkumulyatorAdapterQulaqlıq,Qara,Plastik,108.0,66.0,13.5,45,49.0
Itel,Mobil telefon,Itel IT2163,Monoblok,Mini-SIM,1.77,,160 x 128,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,SmartfonTəlimatAdapter,Qara,Plastik,114.0,75.7,14.3,49,25.9
Nokia,Mobil telefon,Nokia 5310,Monoblok,Mini-SIM,2.4,1 Gb qədər,320 x 240,16 Mb,TN,,1.0,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,Xeyr,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2020.0,Vyetnam,,,QaraQırmızı,Plastik,123.7,88.0,13.1,52.4,75.0
Kgtel,Mobil telefon,,Monoblok,,1.77,,,,,MediaTek MT6261D,,,,,,,,,,,Xeyr,Toza davamlı,3000 qədər,2G,,,Çin,Çin,,Qara,Plastik,,,,,29.5
Geecoo,Mobil telefon,,,Nano-SIMMicro-SIM,2.4,1 Gb qədər,320 x 240,,IPS,,1.0,,Bəli,microSD,5 Mp qədər,,,,5.0,,Xeyr,,3000 qədər,2G,Fənər,2019.0,Çin,Çin,,Qızılı,,,,,,79.0
Hope,Mobil telefon,Hope BM310,Monoblok,,,,,,,,,,Bəli,microSD,,,,,,,Xeyr,,3000 qədər,,,,Çin,Çin,Təlimat,Qara,,,,,,39.0
Nokia,Mobil telefon,Nokia 230,Monoblok,Mini-SIM,2.8,1 Gb qədər,320 x 240,32 Mb,TFT,,1.0,1 Gb qədər,Bəli,microSDmicroSD,5 Mp qədər,2,,Xeyr,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2015.0,Vyetnam,,,Qara,MetalPlastik,124.6,91.8,10.9,53.4,158.0
Nokia,Mobil telefon,Nokia 215,Monoblok,Nano-SIM,2.4,1 Gb qədər,320 x 240,64 Mb,TN,,1.0,1 Gb qədər,Bəli,microSD,,,,,5.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2020.0,Vyetnam,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Firuzəyi,Plastik,124.7,90.0,13.7,51,89.0
SQ,Mobil telefon,SQ SQ7700s,Monoblok,Mini-SIMSIM,2.4,1 Gb qədər,240 x 320,32 Mb,,,,32 Gb,Xeyr,Yoxdur,5 Mp qədər,0.3,,,,,Xeyr,,,,,,Çin,Çin,,Qara,,,,,,58.59
SQ,Mobil telefon,SQ 90,Monoblok,,,,,,,,,,Bəli,,,,,,,,Xeyr,,,,,,Çin,Çin,SmartfonTəlimat,Qara,Plastik,,,,,59.5
Nokia,Mobil telefon,Nokia 150,Monoblok,Mini-SIM,2.4,,320 x 240,,TFT,,,,Bəli,microSD,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2016.0,Vyetnam,,,Qara,Plastik,118.0,81.0,13.5,52,116.5
INOI,Mobil telefon,,Monoblok,Mini-SIM,2.4,,,,,,,,Bəli,microSD,5 Mp qədər,0.3,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Çin,Rusiya,SmartfonAdapter,Boz,Metal,121.6,111.0,11.3,49,69.0
SQ,Mobil telefon,SQ 91,Monoblok,,,,,,,,,,Bəli,,5 Mp qədər,,,,,,Xeyr,,6000 və yuxarı,,,,Çin,Çin,SmartfonTəlimat,Qara,Plastik,,,,,59.0
No Brand,Mobil telefon,,Monoblok,Nano-SIM,0.66,,64 x 48,,OLED,,,,Bəli,microSD,,,,,3.0,,Xeyr,,3000 qədər,,,,,,,Qara,,67.0,,12.4,27.8,29.64
Hope,Mobil telefon,,Monoblok,,2.4,1 Gb qədər,,32 Mb,,,,1 Gb qədər,Bəli,microSD,,,,,,MicroUSB,Xeyr,,,2G,,,Çin,Çin,Zəmanət kartıTəlimat,Qara,,,,,,69.0
KGTEL,Mobil telefon,Kgtel 5310s,Monoblok,,,,,,,,,,Bəli,,,,,,,,Xeyr,,3000 qədər,,,,Çin,Çin,SmartfonTəlimat,Qara,Plastik,,,,,53.5
INOI,Mobil telefon,,Monoblok,Mini-SIM,2.4,,,,,,,,Bəli,microSD,5 Mp qədər,0.3,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Çin,Rusiya,SmartfonAdapter,Qara,Metal,121.6,111.0,11.3,49,65.53
SQ,Mobil telefon,SQ 93 mini,Monoblok,Mini-SIM,,,,,,,,,Bəli,,,,,,,,Xeyr,,6000 və yuxarı,,,,Çin,Çin,SmartfonTəlimat,Qara,Plastik,,,,,69.0
No Brand,Mobil telefon,M1 BM002,Monoblok,,,,,,,,,,,,,,,,5.0,MicroUSBUSB-A,,Toza davamlı,3000 qədər,,,,Çin,,SmartfonQulaqlıqKabelTəlimat,Ağ,,85.0,,25.0,35,84.6
Hope,Mobil telefon,Hope V5,Monoblok,,,,,,,,,,,,,,,,,,Xeyr,,3000 qədər,,,,Çin,Çin,,Qızılı,Metal,,,,,49.35
Hope,Mobil telefon,Hope SQ,Monoblok,Mini-SIM,1.77,,160 x 128,16 Mb,LCD,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,1.3,,,,MicroUSB,Xeyr,,,2G,Fənər,,Çin,Çin,SmartfonAkkumulyatorAdapterÇexol,Qara,Plastik,118.0,90.0,18.0,54,58.8
Nokia,Mobil telefon,Nokia 150,Monoblok,Mini-SIM,2.4,,320 x 240,4 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2020.0,Vyetnam,Finlandiya,SmartfonAkkumulyatorAdapterQulaqlıq,Qara,Plastik,132.0,90.5,15.0,50.5,114.3
Itel,Mobil telefon,Itel IT2163,Monoblok,Mini-SIM,1.77,1 Gb qədər,160 x 128,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,,,,Xeyr,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,,Göy,Plastik,114.0,75.7,14.3,49,29.0
Nokia,Mobil telefon,Nokia 125,Monoblok,Nano-SIM,2.4,,320х240,4 Mb,TFT,,1.0,1 Gb qədər,Xeyr,Yoxdur,5 Mp qədər,0.3,,,,,Xeyr,Toza davamlı,3000 qədər,2G,Fənər,2020.0,Vyetnam,Finlandiya,SmartfonAdapterTəlimatZəmanət kartı,Ağ,Plastik,132.0,91.3,15.0,50.5,72.73
Fly,Mobil telefon,F+ S240,Monoblok,,2.4,,320 x 240,,TFT,,,,Bəli,microSDHC,5 Mp qədər,0.3,,,,MicroUSB,Xeyr,,3000 qədər,,,,Çin,Böyük Britaniya,SmartfonZəmanət kartıTəlimat,Boz,Plastik,126.4,104.0,9.8,53.3,48.02
Geecoo,Mobil telefon,Geecoo Smart 1,Monoblok,Micro-SIM,1.54,1 Gb qədər,240 x 240,32 Mb,,,,1 Gb qədər,Bəli,microSD,,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,,,Çin,Çin,TəlimatKabel,Qızılı,,120.0,66.6,7.2,45.1,79.0
Geecoo,Mobil telefon,Geecoo Smart 1,Monoblok,Micro-SIM,1.54,1 Gb qədər,240 x 240,32 Mb,,,,1 Gb qədər,Bəli,microSD,,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,,,Çin,Çin,TəlimatKabel,Qara,,120.0,66.6,7.2,45.1,79.0
Nokia,Mobil telefon,Nokia 6310,Monoblok,Mini-SIM,2.8,1 Gb qədər,320 x 240,16 Mb,TFT,Spreadtrum SC6531F,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2021.0,Çin,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Qara,Plastik,135.5,105.0,14.0,56,124.3
Hope,Mobil telefon,Hope SQ,Monoblok,Mini-SIM,1.77,,160 x 128,16 Mb,LCD,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,1.3,,,,MicroUSB,Xeyr,,,2G,FənərPower Bank,,Çin,Çin,SmartfonAkkumulyatorAdapterAntenna,Qara,Plastik,124.0,110.0,26.0,57,58.75
Nokia,Mobil telefon,Nokia 6310,Monoblok,Mini-SIM,2.8,1 Gb qədər,320 x 240,16 Mb,TFT,Spreadtrum SC6531F,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2021.0,Çin,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Yaşıl,Plastik,135.5,105.0,14.0,56,124.3
Nokia,Mobil telefon,Nokia 225,Monoblok,Nano-SIM,2.4,1 Gb qədər,320 x 240,64 Mb,TN,,1.0,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,5.0,MicroUSB,Xeyr,,3000 qədər,3GLTE,Fənər,2020.0,Vyetnam,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Qızılı,Plastik,124.7,90.0,13.7,51,109.0
Nokia,Mobil telefon,Nokia 5310,Monoblok,Mini-SIM,2.4,1 Gb qədər,320 x 240,16 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Vyetnam,Finlandiya,SmartfonAkkumulyatorAdapterQulaqlıq,Qara,Plastik,123.7,88.2,13.1,52.4,68.0
Nokia,Mobil telefon,Nokia 225,Monoblok,Nano-SIM,2.4,1 Gb qədər,320 x 240,,TN,,1.0,64 Gb,Bəli,microSD,5 Mp qədər,0.3,,,5.0,MicroUSB,Xeyr,,3000 qədər,LTE,Fənər,2020.0,Vyetnam,Finlandiya,SmartfonBatareyaAdapter,Göy,Plastik,124.7,90.0,13.7,51,97.0
F+,Mobil telefon,F+ S350,Monoblok,Mini-SIM,3.5,,480 х 320,,TFT,,,,Bəli,microSD,5 Mp qədər,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,SmartfonEnerji toplama cihazZəmanət kartıTəlimat,Boz,Plastik,149.0,127.0,10.8,64.4,61.4
Nokia,Mobil telefon,Nokia 150,Monoblok,Mini-SIM,2.4,,320х240,,TFT,,1.0,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,Toza davamlı,3000 qədər,2G,Fənər,2020.0,Vyetnam,Finlandiya,SmartfonAdapterTəlimatZəmanət kartı,Yaşıl,Plastik,132.0,91.0,15.0,50.5,116.5
Fly,Mobil telefon,F+ S286,Monoblok,Mini-SIM,2.8,,,,TFT,,,,Bəli,microSDHC,5 Mp qədər,0.3,,,,MicroUSB,Xeyr,,3000 qədər,2G,,,Çin,Böyük Britaniya,SmartfonZəmanət kartıTəlimat,Gümüşü,Plastik,134.8,117.0,9.5,57,68.6
Nobby,Mobil telefon,Nobby 170B,Monoblok,Micro-SIM,2.4,1 Gb qədər,128х160,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.8,,Bəli,2.1,MicroUSB,,,3000 qədər,3G,3G,,Çin,Çin,,Qara,Plastik,124.2,73.0,14.2,52.2,87.22
Nokia,Mobil telefon,Nokia 210,Monoblok,Nano-SIM,2.4,1 Gb qədər,320 x 240,,TFT,,1.0,,Bəli,microSD,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2019.0,Vyetnam,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Ağ,Plastik,120.8,99.5,13.81,53.49,86.0
Nokia,Mobil telefon,Nokia 6300,Monoblok,Nano-SIM,2.4,,320 x 240,4 Gb,TN,,1.0,4 Gb,Bəli,microSD,5 Mp qədər,0.3,,,4.0,MicroUSB,Xeyr,,3000 qədər,2G3GLTE,Fənər,2020.0,Vyetnam,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Boz,Plastik,131.4,105.0,13.7,53,199.0
LONG-CZ,Mobil telefon,,Açılan,Micro-SIM,0.66,1 Gb qədər,,64 Mb,OLED,,,1 Gb qədər,,Yoxdur,,,,,3.0,,,,3000 qədər,2G,,,Çin,Çin,SmartfonKabel,Qara,,44.0,18.5,16.0,24,79.0
Nokia,Mobil telefon,Nokia 3310,Monoblok,Mini-SIM,2.4,,320 x 240,16 Mb,TFT,,1.0,1 Gb qədər,Bəli,microSDmicroSD,5 Mp qədər,2,,Xeyr,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2017.0,Vyetnam,,,Boz,Plastik,115.6,80.0,12.8,51,145.0
Nokia,Mobil telefon,Nokia 3310 DS,Monoblok,Mini-SIM,2.4,,240 x 320,,TFT,,,,Bəli,microSD,,,,,3.0,MicroUSB,Xeyr,,3000 qədər,,,,Çin,Finlandiya,SmartfonZəmanət kartıTəlimat,Göy,Plastik,115.5,85.0,12.0,55,145.0
Nokia,Mobil telefon,Nokia 215,Monoblok,Nano-SIM,2.4,64 Mb,320 x 240,128 Mb,TFT,,,1 Gb qədər,Bəli,microSD,,,,,5.0,MicroUSB,Xeyr,,3000 qədər,2G3GLTE,Fənər,2020.0,Vyetnam,Finlandiya,SmartfonBatareyaAdapter,Qara,Plastik,124.7,90.0,13.7,51,85.23
Nokia,Mobil telefon,Nokia 5310,Monoblok,Nano-SIM,2.4,1 Gb qədər,320 x 240,,TFT,,1.0,,Bəli,microSD,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2020.0,Vyetnam,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Qara,Plastik,123.7,88.0,13.1,52.4,109.0
Hope,Mobil telefon,Hope K19,Monoblok,,2.4,1 Gb qədər,,,,,,,,,5 Mp qədər,,,,,,Xeyr,,3000 qədər,2G,,,Çin,Çin,,Qara,,,300.0,,,68.25
Hope,Mobil telefon,Hope K37,Monoblok,,2.4,,,,,,,,,,,,,,,,Xeyr,,3000 qədər,,,,Çin,Çin,,Qara,PlastikRezin,,,,,65.0
Nokia,Mobil telefon,Nokia 210,Monoblok,Mini-SIM,2.4,,,16 Mb,TFT,,,1 Gb qədər,Bəli,,5 Mp qədər,0.3,,,,MicroUSB,,,3000 qədər,2G,,,Çin,Finlandiya,,Qırmızı,Plastik,120.8,,13.8,53.4,94.32
Hope,Mobil telefon,Hope Mini BM10,Monoblok,,0.66,,,,,,,,Bəli,microSD,,,,,,,Xeyr,,,2G,,,Çin,Çin,Smartfon,Qara,,67.0,,12.0,21,38.0
F+,Mobil telefon,F+ S350,Monoblok,Mini-SIM,3.5,,480 x 320,32 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,,,,2.1,MicroUSB,Xeyr,Toza davamlı,3000 qədər,2G,Fənər,,Çin,Çin,SmartfonTəlimatAdapter,Boz,Metal,149.0,126.5,10.8,64.4,61.4
Hope,Mobil telefon,Hope K6,Monoblok,,,,,,,,,,,,,,,,,,Xeyr,,,,,,Çin,Çin,,Qızılı,Metal,,,,,128.8
Nokia,Mobil telefon,Nokia 5310,Monoblok,Mini-SIM,2.4,1 Gb qədər,320х240,,TN,,1.0,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,3.0,MicroUSB,Xeyr,Toza davamlı,3000 qədər,2G,Fənər,2020.0,Vyetnam,Finlandiya,SmartfonAdapterTəlimatZəmanət kartı,QaraQırmızı,Plastik,123.7,88.0,13.1,52.4,109.0
Itel,Mobil telefon,Itel IT5250,Monoblok,Mini-SIM,2.4,64 Mb,320 x 240,64 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.8,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,,Boz,Plastik,125.0,96.0,11.3,54,49.0
Itel,Mobil telefon,Itel IT5026 DS,Monoblok,,2.4,1 Gb qədər,240 x 320,32 Mb,,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,Zəmanət kartıTəlimat,Yaşıl,Plastik,131.0,85.0,12.0,55,42.14
Nokia,Mobil telefon,Nokia 225,Monoblok,Nano-SIM,2.4,1 Gb qədər,320 x 240,64 Mb,TN,,1.0,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,5.0,MicroUSB,Xeyr,,3000 qədər,3GLTE,Fənər,2020.0,Vyetnam,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Qara,Plastik,124.7,90.0,13.7,51,107.89
KGTEL,Mobil telefon,Kgtel 1100,Monoblok,,,,,,,,,,Bəli,,,,,,,,Xeyr,,3000 qədər,,,,Çin,Çin,SmartfonTəlimat,Qara,Plastik,,,,,29.75
SQ,Mobil telefon,,Monoblok,,2.4,,,,,,,,Bəli,microSD,5 Mp qədər,,,,,,Xeyr,,6000 və yuxarı,,Fənər,,Çin,Çin,,Qara,,,,,,74.25
Itel,Mobil telefon,Itel IT5026 DS,Monoblok,,2.4,,240 x 320,,,,,,Bəli,microSD,5 Mp qədər,0.3,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,,Çin,Çin,SmartfonZəmanət kartıTəlimat,Göy,Plastik,131.0,85.0,12.0,55,43.12
Nokia,Mobil telefon,Nokia 150,Monoblok,Mini-SIM,2.4,1 Gb qədər,320 x 240,4 Mb,TFT,,,1 Gb qədər,Bəli,microSD,5 Mp qədər,0.3,,,,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2020.0,Çin,Finlandiya,SmartfonAdapterZəmanət kartıTəlimat,Qırmızı,Plastik,132.0,90.0,15.0,51,85.0
INOI,Mobil telefon,,Monoblok,Mini-SIM,1.8,,160 x 128,32 Mb,TFT,,,1 Gb qədər,,,,,,,2.1,MicroUSB,Xeyr,,3000 qədər,2G,Fənər,2018.0,Çin,Rusiya,,Qara,Plastik,113.5,48.0,13.2,49.6,32.0
